interva5_cod_orign,interva5_cod,General_group_title,autopsy_code ,Verbal_autopsy_title ,ICD-10_code_to_ICD,ICD-10_code_from_ICD,specific_group
Stroke,Stroke,Non-communicable diseases,VAs-04.02,Stroke,I64,I60-I69,VAs-04 Diseases of the circulatory system
Sickle cell with crisis,Sickle cell with crisis,Non-communicable diseases,VAs-04.03,Sickle cell with crisis,D57,D57,VAs-04 Diseases of the circulatory system
Other and unspecified cardiac dis,Other and unspecified cardiac disease,Non-communicable diseases,VAs-04.99,Other and unspecified cardiac disease,I99,"""I00-I09
I10-I15
I26-I52
I70-I99""",VAs-04 Diseases of the circulatory system
Chronic obstructive pulmonary dis,Chronic obstructive pulmonary disease (COPD),Non-communicable diseases,VAs-05.01,Chronic obstructive pulmonary disease (COPD),J44,J40-J44,VAs-05 Respiratory disorders
Asthma,Asthma,Non-communicable diseases,VAs-05.02,Asthma,J45 (J46),J45-J46,VAs-05 Respiratory disorders
Acute abdomen,Acute abdomen,Non-communicable diseases,VAs-06.01,Acute abdomen,R10,R10,VAs-06 Gastrointestinal disorders
Liver cirrhosis,Liver cirrhosis,Non-communicable diseases,VAs-06.02,Liver cirrhosis,K74,K70-K76,VAs-06 Gastrointestinal disorders
Renal failure,Renal failure,Non-communicable diseases,VAs-07.01,Renal failure,N19,N17-N19,VAs-07 Renal disorders
Epilepsy,Epilepsy,Non-communicable diseases,VAs-08.01,Epilepsy,G40,G40-G41,VAs-08 Mental and nervous system disorders
Ectopic pregnancy,Ectopic pregnancy,Non-communicable diseases,VAs-09.01,Ectopic pregnancy,O00,O00,VAs-09 Pregnancy-  childbirth and puerperium-related disorders
Abortion-related death,Abortion-related death,Non-communicable diseases,VAs-09.02,Abortion-related death,O06,O03-O08,VAs-09 Pregnancy-  childbirth and puerperium-related disorders
Pregnancy-induced hypertension,Pregnancy-induced hypertension,Non-communicable diseases,VAs-09.03,Pregnancy-induced hypertension,"""O13 (or
O15 for eclampsia)""",O10-O16,VAs-09 Pregnancy-  childbirth and puerperium-related disorders
Obstetric haemorrhage,Obstetric haemorrhage,Non-communicable diseases,VAs-09.04,Obstetric haemorrhage,"""O46 (ante
partum) O72 (post partum)""","""O46; O67;
O72""",VAs-09 Pregnancy-  childbirth and puerperium-related disorders
Obstructed labour,Obstructed labour,Non-communicable diseases,VAs-09.05,Obstructed labour,O66,O63-O66,VAs-09 Pregnancy-  childbirth and puerperium-related disorders
Pregnancy-related sepsis,Pregnancy-related sepsis,Non-communicable diseases,VAs-09.06,Pregnancy-related sepsis,"""O75.3 (ante
partum) O85 (post partum)""",O85; O75.3,VAs-09 Pregnancy-  childbirth and puerperium-related disorders
Anaemia of pregnancy,Anaemia of pregnancy,Non-communicable diseases,VAs-09.07,Anaemia of pregnancy,O99,O99.0,VAs-09 Pregnancy-  childbirth and puerperium-related disorders
Ruptured uterus,Ruptured uterus,Non-communicable diseases,VAs-09.08,Ruptured uterus,O71,O71,VAs-09 Pregnancy-  childbirth and puerperium-related disorders
Other and unspecified maternal CoD,Other and unspecified maternal cause,Non-communicable diseases,VAs-09.99,Other and unspecified maternal cause,O05,"""O01-O02;
O20-O45; O47-O62; O68-O70; O73-O84; O86-O99""",VAs-09 Pregnancy-  childbirth and puerperium-related disorders
Prematurity,Prematurity,Non-communicable diseases,VAs-10.01,Prematurity,P07,P05-P07,VAs-10 Neonatal causes of death
Birth asphyxia,Birth asphyxia,Non-communicable diseases,VAs-10.02,Birth asphyxia,P21,P20-P22,VAs-10 Neonatal causes of death
Neonatal pneumonia,Neonatal pneumonia,Non-communicable diseases,VAs-10.03,Neonatal pneumonia,P23,P23-P25,VAs-10 Neonatal causes of death
Neonatal sepsis,Neonatal sepsis,Non-communicable diseases,VAs-10.04,Neonatal sepsis,P63,P36,VAs-10 Neonatal causes of death
Congenital malformation,Congenital malformation,Non-communicable diseases,VAs-10.06,Congenital malformation,Q89,Q00-Q99,VAs-10 Neonatal causes of death
Other and unspecified neonatal CoD,Other and unspecified perinatal cause of death,Non-communicable diseases,VAs-10.99,Other and unspecified perinatal cause of death,P96,"""P00-P04;
P08-P15; P26-P35; P37-P94; P96""",VAs-10 Neonatal causes of death
Fresh stillbirth,Fresh stillbirth,Non-communicable diseases,VAs-11.01,Fresh stillbirth,P95,P95,VAs-11 Stillbirths
Macerated stillbirth,Macerated stillbirth,Non-communicable diseases,VAs-11.02,Macerated stillbirth,P95,P95,VAs-11 Stillbirths
Road traffic accident,Road traffic accident,Non-communicable diseases,VAs-12.01,Road traffic accident,V89,V01-V89,VAs-12 External causes of death
Other transport accident,Other transport accident,Non-communicable diseases,VAs-12.02,Other transport accident,V99,V90-V99,VAs-12 External causes of death
Accid fall,Accidental fall,Non-communicable diseases,VAs-12.03,Accidental fall,W19,W00-W19,VAs-12 External causes of death
Accid drowning and submersion,Accidental drowning and submersion,Non-communicable diseases,VAs-12.04,Accidental drowning and submersion,W74,W65-W74,VAs-12 External causes of death
Accid expos to smoke fire & flame,Accidental exposure to smoke fire and flames,Non-communicable diseases,VAs-12.05,Accidental exposure to smoke fire and flames,X09,X00-X19,VAs-12 External causes of death
Contact with venomous plant/animal,Contact with venomous animals and plants,Non-communicable diseases,VAs-12.06,Contact with venomous animals and plants,X29,X20-X29,VAs-12 External causes of death
Accid poisoning & noxious subs,Accidental poisoning and exposure to noxious substance,Non-communicable diseases,VAs-12.07,Accidental poisoning and exposure to noxious substance,X49,X40-X49,VAs-12 External causes of death
Intentional self-harm,Intentional self-harm,Non-communicable diseases,VAs-12.08,Intentional self-harm,X84,X60-X84,VAs-12 External causes of death
Assault,Assault,Non-communicable diseases,VAs-12.09,Assault,Y09,X85-Y09,VAs-12 External causes of death
Exposure to force of nature,Exposure to force of nature,Non-communicable diseases,VAs-12.10,Exposure to force of nature,X39,X30-X39,VAs-12 External causes of death
Other and unspecified external CoD,Other and unspecified external cause of death,Non-communicable diseases,VAs-12.99,Other and unspecified external cause of death,X59,S00-T99; W20-W64; W75-W99; X50-X59; Y10-Y98,VAs-12 External causes of death
Indeterminate,Cause of death unknown,Non-communicable diseases,VAs-99,Cause of death unknown,R99,R95-R99,VAs-12 External causes of death
Female reproductive neoplasms,Female reproductive neoplasms,Non-communicable diseases,VAs-02.05,Female reproductive neoplasms,C57,C51-C58,VAs-02 Neoplasms
Male reproductive neoplasms,Male reproductive neoplasms,Non-communicable diseases,VAs-02.06,Male reproductive neoplasms,C63,C60-C63,VAs-02 Neoplasms
